date,縣市,鄉鎮,戶數,人口總,人口男,人口女
2007-03-01,總計,臺灣地區,7380217.0,22792780.0,11539693.0,11253087.0
2007-03-01,總計,臺灣省,5888276.0,18651530.0,9505179.0,9146351.0
2007-03-01,總計,新北市,1285668.0,3771528.0,1888465.0,1883063.0
2007-03-01,總計,宜蘭縣,145031.0,460211.0,236195.0,224016.0
2007-03-01,總計,桃園市,607502.0,1915521.0,973309.0,942212.0
2007-03-01,總計,新竹縣,143929.0,489334.0,253504.0,235830.0
2007-03-01,總計,苗栗縣,160956.0,559709.0,292586.0,267123.0
2007-03-01,總計,臺中市,437103.0,1544771.0,786970.0,757801.0
2007-03-01,總計,彰化縣,344856.0,1314822.0,678370.0,636452.0
2007-03-01,總計,南投縣,162641.0,534724.0,277245.0,257479.0
2007-03-01,總計,雲林縣,216366.0,727446.0,382312.0,345134.0
2007-03-01,總計,嘉義縣,167137.0,552819.0,290181.0,262638.0
2007-03-01,總計,臺南市,349995.0,1106114.0,568160.0,537954.0
2007-03-01,總計,高雄市,411275.0,1244560.0,641661.0,602899.0
2007-03-01,總計,屏東縣,264920.0,891915.0,461789.0,430126.0
2007-03-01,總計,臺東縣,77396.0,235226.0,124290.0,110936.0
2007-03-01,總計,花蓮縣,115543.0,344550.0,179387.0,165163.0
2007-03-01,總計,澎湖縣,30085.0,91950.0,47563.0,44387.0
2007-03-01,總計,基隆市,141042.0,390412.0,198113.0,192299.0
2007-03-01,總計,新竹市,128604.0,396261.0,198690.0,197571.0
2007-03-01,總計,臺中市,354930.0,1046372.0,512444.0,533928.0
2007-03-01,總計,嘉義市,89647.0,272221.0,134931.0,137290.0
2007-03-01,總計,臺南市,253650.0,761064.0,379014.0,382050.0
2007-03-01,總計,臺北市,939801.0,2626273.0,1278977.0,1347296.0
2007-03-01,總計,高雄市,552140.0,1514977.0,755537.0,759440.0
2007-03-01,總計,福建省,30613.0,87674.0,47049.0,40625.0
2007-03-01,總計,金門縣,28716.0,77873.0,41311.0,36562.0
2007-03-01,總計,連江縣,1897.0,9801.0,5738.0,4063.0
2007-03-01,新北市,板橋區,179223.0,544649.0,271929.0,272720.0
2007-03-01,新北市,三重區,129159.0,383506.0,192624.0,190882.0
2007-03-01,新北市,永和區,86712.0,235458.0,113846.0,121612.0
2007-03-01,新北市,中和區,144913.0,410116.0,204269.0,205847.0
2007-03-01,新北市,新莊區,126920.0,393330.0,195688.0,197642.0
2007-03-01,新北市,新店區,109172.0,289695.0,143478.0,146217.0
2007-03-01,新北市,土城區,77351.0,236970.0,119069.0,117901.0
2007-03-01,新北市,蘆洲區,60095.0,190296.0,94774.0,95522.0
2007-03-01,新北市,汐止區,72806.0,179174.0,89752.0,89422.0
2007-03-01,新北市,樹林區,50931.0,162792.0,82548.0,80244.0
2007-03-01,新北市,鶯歌區,25164.0,85157.0,43463.0,41694.0
2007-03-01,新北市,三峽區,29010.0,92302.0,47732.0,44570.0
2007-03-01,新北市,淡水區,48373.0,130334.0,64219.0,66115.0
2007-03-01,新北市,瑞芳區,15385.0,43630.0,22443.0,21187.0
2007-03-01,新北市,五股區,25088.0,76463.0,38968.0,37495.0
